,RTK_signalling,proliferation,mTOR_signalling,apoptosis
BaselTMA_SP41_186_X5Y4_3679,0.5683861877028941,0.9008611646823064,0.656078413193121,0.5481102160359179
BaselTMA_SP41_153_X7Y5_246,0.42135746208636826,0.0,0.5248592191573491,0.8209456743672585
BaselTMA_SP41_20_X12Y5_197,0.9448294958510268,0.5611590125046978,0.9792766571467469,0.7787873053589223
BaselTMA_SP41_14_X1Y8_84,0.8584260864711544,0.7057874727678193,0.9380682885345355,0.6973194282038573
BaselTMA_SP41_166_X15Y4_266,0.9336716085602808,0.5740305924835646,0.9805683620417672,0.7649673316695326
BaselTMA_SP41_117_X13Y3_4413,0.9165273797565595,0.5190921054609731,0.9634443093655509,0.6829250738143054
BaselTMA_SP41_133_X3Y6_1249,0.8784402258793473,0.5106262743544459,0.9473238396766009,0.7679660150043578
BaselTMA_SP41_206_X2Y2_140,0.9448144374018663,0.5611763837173367,0.9792784004044072,0.7787686542141509
BaselTMA_SP41_112_X5Y8_690,0.909172886097597,0.6063945375512645,0.9812380411002164,0.7376820562225292
BaselTMA_SP41_134_X3Y8_449,0.9364515293792278,0.5708237153908312,0.9802465415002941,0.7684104953774415
BaselTMA_SP41_133_X3Y6_1318,0.8296926689978148,0.7448375371412519,0.8876450109533945,0.6624633849940124
BaselTMA_SP41_117_X13Y3_2100,0.58834666573518,0.7843375778335371,0.7683718381788094,0.6926566012585741
BaselTMA_SP41_211_X4Y6_2201,0.8673760515114027,0.6674996766099004,0.9684819919974649,0.6966913264794626
BaselTMA_SP41_203_X8Y8_1760,0.9329213155943029,0.5748961197709008,0.9806552205187888,0.7640380312761017
BaselTMA_SP41_141_X11Y2_5273,0.8132161021410352,0.5832067855531518,0.8145415330364811,0.7702550510482213
BaselTMA_SP41_14_X1Y8_930,0.6132074983147657,0.7372233874007076,0.7433014583163637,0.8043511347153588
BaselTMA_SP41_191_X15Y7_1306,0.8197467646255996,0.8082792363283259,0.950664817742483,0.7165168964663033
BaselTMA_SP41_186_X5Y4_1592,0.8227321647892626,0.6882087606379379,0.8891464055701189,0.6914900584251995
BaselTMA_SP41_141_X11Y2_5215,0.9630460687418105,0.5305704528800943,0.9750102565310568,0.7936639177436893
BaselTMA_SP41_206_X1Y2_1390,0.8740477966545119,0.6375826141755034,0.9835778092729072,0.6913027459975285
BaselTMA_SP41_133_X3Y6_2298,0.8977672477883155,0.6339746950029904,0.9774666091381966,0.7360528968958098
BaselTMA_SP41_134_X3Y8_1196,0.8150595056511725,0.7867417930482816,0.8937710469779541,0.6758736545597211
BaselTMA_SP41_11_X13Y7_3460,0.9639256105961279,0.5283094217503538,0.9744269457642888,0.7936797460454462
BaselTMA_SP41_117_X13Y3_660,0.6929122083179012,0.7678609863042838,0.8413514044225393,0.7131695289898465
BaselTMA_SP41_159_X12Y4_2161,1.0,0.4355732807376605,0.9505024677641044,0.794328943486568
BaselTMA_SP41_134_X3Y8_176,0.9684840304576476,0.5091420435337468,0.9667865834909902,0.7867131425630085
BaselTMA_SP41_204_X16Y4_237_233,0.8413612604166607,0.7235045050522201,0.80183745903453,0.6565492240150939
BaselTMA_SP41_11_X13Y7_3290,0.9028288609935101,0.5991236964321754,0.990644141296899,0.7269380142152049
BaselTMA_SP41_204_X16Y4_237_8,0.6274522437762514,0.5999156777230646,0.6702779859899638,0.689178225374689
BaselTMA_SP41_134_X3Y8_234,0.4933364031951663,0.9214781462869337,0.6233128444024684,0.5612948239965898
BaselTMA_SP41_11_X13Y7_1243,0.7093485652795621,0.6179435071132654,0.7992886383979854,0.7862472108645941
BaselTMA_SP41_135_X8Y5_3127,0.8261351283923714,0.7297916839400705,0.8576489673010299,0.6330945930104984
BaselTMA_SP41_11_X13Y7_3217,0.9334666222972604,0.5711085747600408,0.9843471260233845,0.763802032890146
BaselTMA_SP41_126_X14Y7_1746,0.9713240543491568,0.5092903022449871,0.9695203095680863,0.7938128889989965
BaselTMA_SP41_18_X13Y5_762,0.9437276618670937,0.5621023834419077,0.9797937921742677,0.7773280348535864
BaselTMA_SP41_203_X8Y8_527,0.8610991541402859,0.35395403285158245,0.8621955080812572,0.8358712524463919
BaselTMA_SP41_134_X3Y8_880,0.7749596510379675,0.8395675083095964,0.8350608766036458,0.612416246610902
BaselTMA_SP41_14_X1Y8_2568,0.9047780764139626,0.6505566720463135,0.9483150102471795,0.7457623042284588
BaselTMA_SP41_18_X13Y5_1219,0.9403854325953545,0.56628562062826,0.9797911289380055,0.7732829624966036
BaselTMA_SP41_11_X13Y7_2886,0.9464318580923868,0.523924468744974,0.9674894493583531,0.751045071608862
BaselTMA_SP41_112_X5Y8_298,0.9493661783546589,0.5556216410810064,0.9791127837351369,0.7843186666535383
BaselTMA_SP41_206_X1Y2_3026,0.9349917881554249,0.5463770947101666,0.9767292674308604,0.7464257122956491
BaselTMA_SP41_135_X8Y5_430,0.9532774703180191,0.5509606302494978,0.9788371306718378,0.7891201327060119
BaselTMA_SP41_100_X15Y5_2042,0.9403117827302105,0.5663705820645004,0.979799655094333,0.7731917409981253
BaselTMA_SP41_204_X16Y4_237_30,0.8670915212412714,0.7222734953719226,0.9271436522790397,0.7306588730017234
BaselTMA_SP41_134_X3Y8_1748,0.8662435753032766,0.6555144576982329,0.8542324924830526,0.6617317488506401
BaselTMA_SP41_186_X5Y4_1179,0.0,1.0,0.0,0.0
BaselTMA_SP41_159_X12Y4_1391,0.5119090911396755,0.8797231848366114,0.6205626956109229,0.5660433074053395
BaselTMA_SP41_135_X8Y5_2977,0.9401257379206864,0.5426375317926229,0.9752604355445851,0.7540401010407789
BaselTMA_SP41_165_X5Y6_308,0.9315982859235313,0.5743337120286692,0.9832915011637138,0.7617966564284825
BaselTMA_SP41_117_X13Y3_4099,0.5532031314329301,0.7948063868844073,0.7375400413799148,0.6865074931630626
BaselTMA_SP41_117_X13Y3_1932,0.374080868037228,0.7291052607443488,0.5471294184983166,0.7001065762902586
BaselTMA_SP41_14_X1Y8_3119,0.9016882426424039,0.6173901755540865,0.9819959315950799,0.7383644238146598
BaselTMA_SP41_165_X5Y6_1554,0.9510592064218791,0.5539725070517864,0.9785554679619802,0.7865033212979876
BaselTMA_SP41_134_X3Y8_1549,0.9595003357226711,0.34762974333199126,0.7922051925818898,0.6150737744884648
BaselTMA_SP41_177_X16Y5_130,0.9475763269380485,0.5579903072557786,0.9789586672738932,0.782189484675012
BaselTMA_SP41_126_X14Y7_1090,0.9399217711854111,0.566820493831913,0.979844805202808,0.7727086791829947
BaselTMA_SP41_203_X8Y8_2049,0.9231667984531386,0.5861487919180602,0.9817844627499998,0.7519562485218169
BaselTMA_SP41_204_X16Y4_238_343,0.48411244490527466,0.7641365605096175,0.48340653299525504,0.48403497389010436
BaselTMA_SP41_206_X1Y2_3145,0.9423150242146562,0.5640596711983,0.9795677476763837,0.7756729225952446
BaselTMA_SP41_141_X11Y2_848,0.9416201625415418,0.5648612537350907,0.9796481890898102,0.774812278479564
BaselTMA_SP41_11_X13Y7_4100,0.9226986748757543,0.5858778655904018,0.9828027669757085,0.7511424333131027
BaselTMA_SP41_101_X10Y8_1777,0.7572473323788173,0.7782294013641524,0.8921011628001955,0.7037733019938961
